Geography Code,Geography Name,Sex,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Pakistani","Asian, Asian British or Asian Welsh: Other Asian","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Roma,White: Other White,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E07000095,Broxbourne,Male,165,175,655,155,560,1780,930,400,375,200,615,700,33030,65,590,100,5135,110,2140
E07000096,Dacorum,Female,205,410,1735,1280,955,1440,455,240,865,330,765,700,61950,95,1080,90,5440,185,740
E07000096,Dacorum,Male,255,345,1660,1310,790,1380,570,325,820,365,775,650,60160,100,1025,115,4560,215,720
E07000098,Hertsmere,Female,195,590,3365,390,1360,1995,445,280,620,280,500,735,35230,95,1150,130,6580,175,1905
E07000098,Hertsmere,Male,185,470,3295,395,1070,1715,445,300,620,225,445,605,32805,70,1005,155,5925,185,1875
E07000099,North Hertfordshire,Female,295,415,1975,290,780,780,680,210,745,255,915,605,55080,15,885,40,3715,145,640
E07000099,North Hertfordshire,Male,285,295,1835,245,535,680,650,235,710,255,905,525,53215,25,800,45,2800,150,555
E07000102,Three Rivers,Female,110,420,5230,600,1065,645,395,125,665,175,390,470,32395,45,1020,35,3540,135,655
E07000102,Three Rivers,Male,115,290,4935,575,920,590,350,130,680,165,380,465,31310,40,960,55,2915,160,620
E07000103,Watford,Female,270,575,5065,4120,2740,2060,900,410,680,350,665,735,23355,35,1135,165,6860,330,1450
E07000103,Watford,Male,225,450,4890,4075,2630,1895,830,395,725,345,635,710,23465,45,1015,180,5975,430,1435
E07000105,Ashford,Female,150,315,870,200,2375,1305,295,160,455,225,390,385,56175,330,420,40,3115,120,820
E07000105,Ashford,Male,185,260,850,205,2255,1200,280,185,440,215,385,380,53495,355,355,40,2570,175,765
E07000106,Canterbury,Female,215,730,1015,260,1105,1545,385,190,760,310,490,650,67035,200,700,90,4950,340,885
E07000106,Canterbury,Male,220,625,980,280,950,1385,265,140,650,355,495,615,62850,195,615,100,3745,335,795
E07000107,Dartford,Female,500,630,2565,370,1735,5120,605,645,480,370,515,495,39995,165,435,80,3725,120,1060
E07000107,Dartford,Male,555,535,2560,390,1680,4690,535,685,500,355,490,435,38565,145,380,80,3375,135,1070
E07000108,Dover,Female,65,160,270,20,725,265,90,60,295,155,200,255,53625,120,330,135,2365,60,405
E07000108,Dover,Male,95,140,280,25,625,280,85,55,250,145,210,245,51485,125,315,110,1805,75,460
E07000109,Gravesham,Female,315,200,4035,415,990,2765,445,435,375,255,390,360,37495,165,355,170,3940,60,1500
E07000109,Gravesham,Male,375,150,4105,430,985,2470,400,435,415,280,400,355,35535,155,345,185,3555,65,1600
E07000110,Maidstone,Female,310,375,1090,280,2025,1300,285,200,650,300,505,580,72800,535,535,115,5980,105,850
E07000110,Maidstone,Male,340,285,1055,290,2170,1265,360,200,665,310,475,530,71315,475,455,155,5490,145,985
E07000111,Sevenoaks,Female,115,440,700,120,575,710,205,105,705,165,355,445,52790,225,585,40,3585,65,375
E07000111,Sevenoaks,Male,120,325,625,135,330,625,165,125,645,170,300,400,50325,235,500,35,2685,95,380
E07000112,Folkestone and Hythe,Female,85,220,245,95,1390,195,110,50,345,160,275,275,49385,65,395,70,2295,60,475
E07000112,Folkestone and Hythe,Male,110,140,245,120,1620,190,95,45,330,145,280,300,47205,80,370,70,1680,60,490
E07000113,Swale,Female,170,185,390,60,375,1270,190,200,350,200,365,345,67830,420,420,75,3165,50,310
E07000113,Swale,Male,235,145,390,85,280,1275,265,295,410,215,450,410,66555,505,435,100,2835,75,360
E07000114,Thanet,Female,110,245,445,115,745,455,215,75,440,290,525,450,63585,100,620,185,3475,110,740
E07000114,Thanet,Male,140,200,495,155,600,405,235,90,455,300,520,445,59210,85,525,195,2740,135,720
E07000115,Tonbridge and Malling,Female,180,360,795,150,575,435,135,75,555,205,325,440,59605,250,450,30,2900,70,305
E07000115,Tonbridge and Malling,Male,195,305,750,135,425,440,140,90,490,210,345,375,57185,215,400,45,2215,100,305
E07000116,Tunbridge Wells,Female,250,380,860,155,730,440,85,75,670,195,245,415,49480,175,515,60,4085,115,435
E07000116,Tunbridge Wells,Male,300,300,835,210,545,390,90,55,615,170,235,405,47570,160,400,60,3060,135,420
E07000117,Burnley,Female,1345,85,180,4960,295,90,45,15,400,65,90,155,37680,50,245,50,1765,75,270
E07000117,Burnley,Male,1395,80,200,5145,255,90,50,35,425,100,100,165,36075,30,215,55,1950,80,350
E07000118,Chorley,Female,45,175,375,345,170,145,120,40,240,105,300,180,54990,15,295,25,1250,110,120
E07000118,Chorley,Male,75,130,370,420,95,165,125,60,280,130,345,190,54460,40,335,30,1145,125,160
E07000119,Fylde,Female,30,140,175,65,200,80,25,30,200,85,145,145,38655,20,290,20,1035,35,140
E07000119,Fylde,Male,45,105,210,110,100,110,40,45,195,85,155,145,37135,30,260,35,855,60,145
E07000120,Hyndburn,Female,225,75,175,5475,315,80,15,10,305,65,105,100,33310,35,175,20,1020,60,190
E07000120,Hyndburn,Male,230,65,185,5350,310,80,25,15,265,55,80,115,32165,50,190,25,1000,105,180
E07000121,Lancaster,Female,265,895,800,315,535,515,65,30,425,165,195,305,63870,155,445,45,3390,205,385
E07000121,Lancaster,Male,90,700,830,300,425,505,60,45,395,175,225,315,61685,150,360,45,2920,270,440
E07000122,Pendle,Female,160,90,130,12280,210,90,25,,455,45,120,140,32180,40,165,55,1790,110,305
E07000122,Pendle,Male,145,70,110,12220,155,85,25,10,430,50,110,140,31140,60,175,70,1905,125,335
E07000123,Preston,Female,365,365,9240,3775,860,1145,395,125,655,255,925,385,49495,55,455,100,4300,475,725
E07000123,Preston,Male,395,340,9810,3775,890,1210,435,180,665,250,830,395,48220,60,470,150,4020,685,960
E07000124,Ribble Valley,Female,15,75,190,295,95,35,15,,150,60,65,70,29500,,175,,515,25,65
E07000124,Ribble Valley,Male,10,65,195,285,40,45,20,,170,60,60,95,28415,,165,10,460,25,65
E07000125,Rossendale,Female,815,125,115,785,145,45,20,,220,75,120,115,32645,15,235,,495,40,90
E07000125,Rossendale,Male,775,85,110,850,75,45,35,15,205,80,145,85,31425,10,275,,390,40,100
E07000126,South Ribble,Female,30,185,575,225,210,120,85,25,325,120,375,135,52685,15,310,20,1125,40,125
E07000126,South Ribble,Male,30,145,590,200,125,145,125,35,305,115,375,155,50405,10,310,35,1005,55,140
E07000127,West Lancashire,Female,25,160,235,65,225,110,50,25,260,155,180,185,56650,,375,25,2045,65,150
E07000127,West Lancashire,Male,,105,210,55,140,135,50,20,250,155,165,200,52345,20,280,45,1995,80,170
E07000128,Wyre,Female,20,170,100,50,275,80,30,15,180,90,160,120,55060,35,250,10,735,55,80
E07000128,Wyre,Male,25,160,120,50,135,90,40,20,185,110,140,140,52110,40,240,20,640,50,105
E07000129,Blaby,Female,25,285,3465,180,365,515,220,75,420,115,505,310,43220,50,300,20,1745,85,570
E07000129,Blaby,Male,30,230,3405,235,270,465,220,95,435,150,545,280,41525,40,260,35,1555,90,570
E07000130,Charnwood,Female,1320,825,7795,300,1010,1005,210,115,805,225,690,530,71855,40,515,70,3570,285,765
E07000130,Charnwood,Male,1360,935,7940,355,1015,1075,310,125,915,300,665,525,71490,30,525,95,3270,325,785
E07000131,Harborough,Female,25,125,2190,140,265,170,80,35,385,75,305,210,43060,95,295,,1415,30,350
E07000131,Harborough,Male,40,105,2060,140,200,240,120,50,380,105,295,245,42415,95,260,15,1190,50,340
E07000132,Hinckley and Bosworth,Female,35,225,1030,95,275,215,75,40,350,110,325,250,52155,35,285,20,1790,40,250
E07000132,Hinckley and Bosworth,Male,50,160,990,130,160,205,110,40,335,105,315,210,51070,45,270,30,1485,50,285
E07000133,Melton,Female,10,70,160,,90,55,40,15,120,40,100,75,24540,10,140,,945,15,65
E07000133,Melton,Male,10,45,145,,50,50,30,,115,40,105,65,23520,15,130,10,825,20,60
E07000134,North West Leicestershire,Female,,135,400,30,260,205,65,35,290,95,270,155,48765,60,240,25,1825,25,195
E07000134,North West Leicestershire,Male,,100,380,40,185,220,80,40,290,80,260,160,47665,70,215,40,1550,40,220
E07000135,Oadby and Wigston,Female,165,185,6135,1170,535,390,215,75,350,95,260,215,17915,,195,,910,185,745
E07000135,Oadby and Wigston,Male,150,140,6055,1110,485,335,180,60,380,100,280,190,16595,,165,15,780,195,770
E07000136,Boston,Female,25,65,290,155,195,185,10,25,120,80,130,150,26640,70,80,95,7105,55,335
E07000136,Boston,Male,40,45,315,160,150,175,45,25,140,95,150,145,25900,70,80,100,6595,65,395
E07000137,East Lindsey,Female,45,140,135,50,245,75,45,20,230,80,285,175,69470,65,240,30,1325,20,100
E07000137,East Lindsey,Male,65,130,150,65,115,70,65,15,225,80,265,140,66565,60,235,25,1090,35,130
E07000138,Lincoln,Female,150,385,380,140,565,570,105,60,300,170,235,265,43430,65,310,60,4630,140,445
E07000138,Lincoln,Male,170,405,410,165,580,525,130,75,355,200,235,305,42465,80,340,100,4185,180,505
E07000139,North Kesteven,Female,40,165,190,45,210,105,50,35,230,100,205,180,56550,35,255,15,1610,45,155
E07000139,North Kesteven,Male,45,120,180,50,115,130,55,35,220,115,170,145,54755,25,255,15,1220,50,150
E07000140,South Holland,Female,30,110,240,30,210,165,60,35,160,105,180,170,40710,75,155,80,5570,25,250
E07000140,South Holland,Male,35,95,225,40,160,160,60,40,180,115,150,165,39535,95,120,90,5190,25,280
E07000141,South Kesteven,Female,30,265,430,115,490,280,110,50,310,150,255,265,66660,55,365,35,3730,40,265
E07000141,South Kesteven,Male,35,235,435,120,365,275,110,55,280,170,275,245,63080,55,320,35,3090,55,270
E07000142,West Lindsey,Female,10,115,265,55,170,95,55,20,175,85,175,125,45675,120,205,,950,35,125
E07000142,West Lindsey,Male,,70,280,65,100,90,50,25,180,85,150,105,44285,95,170,10,740,50,125
E07000143,Breckland,Female,45,145,175,35,315,150,80,55,240,225,225,315,63450,85,335,60,5055,,360
E07000143,Breckland,Male,75,105,165,70,205,235,155,145,245,230,290,285,62070,120,320,85,4885,25,420
E07000144,Broadland,Female,90,265,285,30,380,230,45,60,330,210,155,255,62805,35,280,15,1735,45,205
E07000144,Broadland,Male,90,170,270,35,215,240,50,55,335,185,150,220,60460,25,230,25,1255,50,195
E07000145,Great Yarmouth,Female,25,135,425,65,405,455,45,65,170,220,185,205,45090,70,165,50,2730,25,330
E07000145,Great Yarmouth,Male,40,110,360,55,315,405,60,80,205,205,170,220,43575,65,185,65,2365,50,370
E07000146,King's Lynn and West Norfolk,Female,45,195,635,80,595,255,65,75,270,235,220,325,69800,210,345,65,5060,70,420
E07000146,King's Lynn and West Norfolk,Male,60,205,605,85,385,265,80,105,255,195,230,290,67165,205,310,75,4330,85,440
E07000147,North Norfolk,Female,,100,45,,175,40,35,,150,90,120,130,50225,35,250,15,1145,,105
E07000147,North Norfolk,Male,20,55,65,10,90,60,25,20,160,80,125,120,48180,50,220,20,870,20,110
E07000148,Norwich,Female,415,870,1290,220,1320,1415,165,175,660,480,465,685,56130,90,480,105,6725,360,800
E07000148,Norwich,Male,425,755,1280,310,980,1390,230,200,630,490,475,640,55495,125,405,110,5760,540,835
E07000149,South Norfolk,Female,75,310,480,60,470,410,75,75,395,185,175,320,66535,80,260,25,2460,65,255
E07000149,South Norfolk,Male,75,245,500,70,280,455,90,60,350,180,215,265,63760,70,260,45,1980,80,255
E07000163,Craven,Female,,45,95,250,100,20,15,,105,45,65,65,27590,30,130,,655,15,65
E07000163,Craven,Male,10,55,110,250,55,25,,10,105,40,65,85,26100,15,110,,495,20,60
E07000164,Hambleton,Female,,85,100,35,135,55,25,35,155,55,70,100,44365,60,160,,880,25,90
E07000164,Hambleton,Male,10,60,90,30,105,65,35,30,125,50,75,105,42310,55,190,,725,40,120
E07000165,Harrogate,Female,40,405,450,105,620,335,90,55,535,160,245,370,75065,45,530,50,3470,70,370
E07000165,Harrogate,Male,30,350,460,120,365,350,120,80,460,180,285,340,72415,40,450,55,3130,100,325
E07000166,Richmondshire,Female,,30,35,,350,60,45,65,80,40,50,50,22765,15,85,,435,15,180
E07000166,Richmondshire,Male,,20,35,15,845,105,90,80,70,45,50,75,23265,20,115,,285,20,325
E07000167,Ryedale,Female,,45,30,20,85,25,10,,60,40,35,80,26600,30,110,,755,10,65
E07000167,Ryedale,Male,15,45,25,20,35,35,,,70,50,40,50,25365,30,125,15,660,20,70
E07000168,Scarborough,Female,95,115,190,70,285,140,15,,200,85,100,150,52340,15,165,55,1660,55,160
E07000168,Scarborough,Male,95,105,170,70,180,130,30,10,205,75,120,130,49505,45,150,80,1440,75,215
E07000169,Selby,Female,,135,125,15,130,70,20,15,180,55,120,100,43845,90,190,25,1535,50,105
E07000169,Selby,Male,,80,120,25,55,70,35,25,140,70,110,110,42535,65,170,20,1380,45,130
E07000170,Ashfield,Female,25,185,450,85,280,500,195,110,240,130,490,200,59125,40,155,25,1960,35,215
E07000170,Ashfield,Male,30,175,425,120,195,460,200,115,210,135,465,185,56850,25,160,30,1780,65,235
E07000171,Bassetlaw,Female,15,125,235,75,255,175,75,55,195,90,205,185,54755,55,150,25,2450,50,215
E07000171,Bassetlaw,Male,25,110,285,130,190,205,125,105,190,85,300,155,53580,80,170,40,2315,45,275
E07000172,Broxtowe,Female,55,640,1205,630,610,540,260,105,410,145,585,280,47765,15,330,25,2270,220,465
E07000172,Broxtowe,Male,55,650,1185,605,520,590,265,110,395,140,595,275,45955,10,325,40,1910,280,505
E07000173,Gedling,Female,60,255,900,755,395,530,655,195,430,175,1095,375,51530,10,490,20,2020,85,400
E07000173,Gedling,Male,45,220,850,695,350,495,610,195,425,175,1045,400,48835,15,400,35,1560,100,420
E07000174,Mansfield,Female,170,180,400,115,265,365,140,70,170,115,335,165,49095,35,205,85,3790,90,305
E07000174,Mansfield,Male,170,160,440,135,205,390,125,85,175,105,315,165,47380,55,185,100,3790,95,330
E07000175,Newark and Sherwood,Female,40,160,240,55,220,190,95,55,250,100,310,175,56990,150,295,50,2820,50,215
E07000175,Newark and Sherwood,Male,70,140,255,110,125,240,130,95,285,115,385,225,54950,190,275,50,2595,70,195
E07000176,Rushcliffe,Female,55,505,1725,740,460,275,190,45,620,145,535,380,52095,15,465,25,1945,160,345
E07000176,Rushcliffe,Male,75,395,1745,760,315,300,205,80,605,150,540,330,50385,30,430,20,1420,210,360
E07000177,Cherwell,Female,135,805,1400,1525,1145,840,290,185,725,370,630,620,63100,75,625,155,7515,155,820
E07000177,Cherwell,Male,155,605,1395,1630,910,890,400,240,715,360,595,600,62320,100,620,200,7115,225,825
E07000178,Oxford,Female,1060,2430,3135,3330,2730,2640,875,395,1605,555,990,1450,43730,30,1145,230,13410,635,2040
E07000178,Oxford,Male,965,2050,2870,3285,3135,2420,750,455,1595,515,925,1370,42940,35,1205,270,11565,810,2455
E07000179,South Oxfordshire,Female,100,385,800,195,750,425,155,95,650,195,375,470,64375,60,710,55,5125,95,515
E07000179,South Oxfordshire,Male,150,285,845,240,515,475,190,125,640,200,415,455,63515,45,605,85,4210,115,450
E07000180,Vale of White Horse,Female,115,645,785,315,935,735,220,165,630,235,385,520,57635,65,605,55,5125,160,625
E07000180,Vale of White Horse,Male,140,635,805,335,775,715,285,195,635,200,350,500,57880,55,540,75,4065,190,580
E07000181,West Oxfordshire,Female,100,240,235,65,425,270,75,35,410,150,250,290,51245,95,455,50,3375,55,275
E07000181,West Oxfordshire,Male,110,160,260,65,265,205,85,50,410,140,230,260,50400,90,395,55,2605,80,255
E07000187,Mendip,Female,35,210,145,15,320,125,40,20,320,105,190,240,54580,115,400,30,2605,15,195
E07000187,Mendip,Male,50,190,175,20,135,105,50,30,320,135,160,195,52030,125,355,55,2055,30,170
E07000188,Sedgemoor,Female,90,135,355,30,310,135,35,30,235,125,140,210,57810,95,245,50,2990,25,225
E07000188,Sedgemoor,Male,100,110,370,35,275,115,55,50,260,135,155,175,56530,90,250,75,2950,50,300
E07000189,South Somerset,Female,75,195,405,60,540,280,90,60,310,195,230,315,80595,95,345,75,3990,50,260
E07000189,South Somerset,Male,105,140,400,70,335,275,65,45,290,190,225,265,77730,100,310,70,3520,65,300
E07000192,Cannock Chase,Female,30,130,245,60,175,95,90,35,180,55,365,125,48200,15,160,15,885,,130
E07000192,Cannock Chase,Male,35,115,255,55,100,95,120,30,165,55,365,110,46820,15,155,15,845,20,135
E07000193,East Staffordshire,Female,95,185,505,4230,635,340,220,60,410,90,565,235,48810,40,240,95,4630,80,520
E07000193,East Staffordshire,Male,110,165,575,4405,635,375,270,120,455,110,625,230,48210,60,285,120,4565,110,605
E07000194,Lichfield,Female,80,165,755,110,175,90,120,40,295,85,410,190,49665,10,335,15,1230,20,200
E07000194,Lichfield,Male,85,150,725,120,135,110,195,40,310,85,385,225,48290,15,330,25,1000,30,185
E07000195,Newcastle-under-Lyme,Female,125,360,865,515,605,505,105,50,345,120,330,205,56395,40,185,25,1645,95,320
E07000195,Newcastle-under-Lyme,Male,150,280,845,430,470,425,120,80,325,125,330,205,54550,30,180,35,1430,105,340
E07000196,South Staffordshire,Female,10,100,1065,105,165,120,170,50,275,55,530,150,51265,60,240,15,540,30,215
E07000196,South Staffordshire,Male,50,90,1055,330,140,185,375,125,340,65,645,180,50565,130,240,15,495,30,250
E07000197,Stafford,Female,70,255,950,235,600,345,265,120,340,120,550,270,62275,55,360,35,1960,100,325
E07000197,Stafford,Male,75,215,905,285,570,370,245,95,340,125,555,250,60930,55,340,35,1760,120,355
E07000198,Staffordshire Moorlands,Female,,70,100,45,140,40,40,,160,40,150,100,46860,35,130,,575,10,65
E07000198,Staffordshire Moorlands,Male,10,55,100,55,85,35,50,15,150,50,155,100,45710,20,125,,465,15,75
E07000199,Tamworth,Female,25,110,250,45,160,80,120,40,175,60,395,130,36270,,235,50,1635,25,100
E07000199,Tamworth,Male,15,90,255,55,75,70,140,45,195,60,360,100,35190,10,215,60,1640,30,130
E07000200,Babergh,Female,50,90,120,20,215,130,65,45,195,100,180,190,44310,30,275,15,1340,15,155
E07000200,Babergh,Male,60,85,115,20,105,155,60,50,185,110,205,190,42105,10,205,15,965,25,155
E07000202,Ipswich,Female,1015,400,1190,185,1070,1235,745,415,405,575,1555,730,52280,185,315,320,6360,140,1210
E07000202,Ipswich,Male,1000,350,1175,190,1035,1245,765,480,415,580,1460,695,51930,170,270,340,5585,220,1415
E07000203,Mid Suffolk,Female,20,105,110,15,240,125,65,40,180,105,245,190,48910,50,220,,1255,15,165
E07000203,Mid Suffolk,Male,20,70,95,20,130,150,105,75,185,95,235,225,47670,45,220,20,1065,25,190
E07000207,Elmbridge,Female,310,840,1830,455,1495,605,200,95,1205,300,440,970,52210,75,1300,75,7915,415,1005
E07000207,Elmbridge,Male,320,575,1710,465,1055,530,190,110,1165,380,415,810,50655,75,1025,105,6065,470,895
E07000208,Epsom and Ewell,Female,255,760,1665,730,1520,505,180,125,695,185,275,600,28490,45,665,65,3790,340,850
E07000208,Epsom and Ewell,Male,270,535,1525,745,1230,465,175,125,725,215,325,530,27645,40,525,75,2975,380,700
E07000209,Guildford,Female,225,1315,1365,430,1725,805,185,140,860,300,365,660,55740,220,685,105,6470,305,1025
E07000209,Guildford,Male,255,1000,1505,490,1320,725,175,125,910,315,345,630,55335,245,605,130,5245,425,935
E07000210,Mole Valley,Female,130,275,440,130,500,260,90,40,460,115,200,370,38060,60,510,20,2825,105,300
E07000210,Mole Valley,Male,115,185,430,115,320,190,80,45,420,110,215,300,36925,40,440,35,2140,120,275
E07000211,Reigate and Banstead,Female,425,565,2340,990,1630,1505,495,240,930,395,625,805,58670,115,930,65,5190,200,900
E07000211,Reigate and Banstead,Male,460,385,2295,1040,1250,1370,505,300,965,350,645,830,57275,165,790,80,4050,260,820
E07000212,Runnymede,Female,205,530,2030,415,1110,595,190,65,600,205,290,480,32785,200,600,75,4305,235,640
E07000212,Runnymede,Male,200,435,2000,425,795,500,170,75,595,200,285,465,31180,170,530,110,3595,225,580
E07000213,Spelthorne,Female,200,450,3775,815,1460,880,305,130,760,250,360,585,35925,145,715,90,4265,225,1005
E07000213,Spelthorne,Male,230,345,3785,855,1225,835,275,125,730,235,355,495,35335,130,610,125,3665,300,970
E07000214,Surrey Heath,Female,235,370,1475,610,1470,475,130,85,475,135,210,395,35520,105,475,40,2980,160,650
E07000214,Surrey Heath,Male,240,220,1465,680,1290,480,165,100,490,125,270,360,34950,95,360,55,2315,200,600
E07000215,Tandridge,Female,115,300,660,170,560,525,390,135,595,190,460,485,37565,180,550,20,2235,40,365
E07000215,Tandridge,Male,105,160,640,175,385,405,360,110,545,170,460,435,35780,150,450,20,1635,55,300
E07000216,Waverley,Female,115,480,415,370,605,290,105,60,695,165,210,415,56755,120,730,30,4080,65,320
E07000216,Waverley,Male,130,320,380,460,345,300,90,45,630,150,225,355,54570,140,565,50,3050,80,315
E07000217,Woking,Female,330,575,1645,3615,1315,675,175,115,750,245,280,555,34670,50,575,125,5490,320,800
E07000217,Woking,Male,355,415,1710,3710,1065,655,150,110,720,235,325,505,35245,40,475,175,4685,320,740
E07000218,North Warwickshire,Female,,45,220,60,95,55,90,25,145,55,280,110,30855,10,225,25,720,15,80
E07000218,North Warwickshire,Male,,45,245,65,60,55,105,30,125,45,260,95,29740,,250,35,645,15,85
E07000219,Nuneaton and Bedworth,Female,60,190,3625,490,1170,815,225,165,330,130,540,200,55865,40,350,55,3270,75,690
E07000219,Nuneaton and Bedworth,Male,60,165,3530,450,1040,805,265,170,365,140,530,220,53940,55,345,70,2940,90,725
E07000220,Rugby,Female,150,400,2670,470,720,980,400,200,470,200,590,310,43020,30,535,85,5545,65,575
E07000220,Rugby,Male,150,385,2650,495,640,920,390,220,515,210,580,325,42665,40,535,125,5435,80,590
E07000221,Stratford-on-Avon,Female,20,255,610,120,380,125,95,25,480,105,285,290,62295,80,595,35,3210,60,295
E07000221,Stratford-on-Avon,Male,20,175,625,125,235,115,85,35,440,140,300,250,59040,70,590,60,2710,70,295
E07000222,Warwick,Female,65,775,4995,420,955,560,230,80,865,225,565,550,56400,25,1100,65,5525,140,1070
E07000222,Warwick,Male,70,680,5120,465,865,440,215,90,880,225,600,565,56250,30,1015,100,5020,165,1050
E07000223,Adur,Female,180,160,160,40,215,160,45,25,300,155,150,260,29515,55,255,25,1275,85,265
E07000223,Adur,Male,190,105,140,50,150,200,65,35,235,165,155,210,27875,50,235,30,985,120,225
E07000224,Arun,Female,240,240,345,40,495,245,85,55,395,195,300,370,75595,105,555,65,5655,50,405
E07000224,Arun,Male,285,195,380,70,345,255,135,80,390,225,280,330,70585,110,465,95,4780,75,390
E07000225,Chichester,Female,75,250,310,30,520,205,80,50,365,140,250,305,58020,145,490,40,2965,60,250
E07000225,Chichester,Male,100,160,315,30,370,245,135,65,355,150,200,280,53800,145,370,50,2370,85,275
E07000226,Crawley,Female,285,310,3640,3000,1805,1635,325,690,610,495,540,735,36900,55,460,155,6325,295,1230
E07000226,Crawley,Male,340,255,3695,3120,1785,1660,360,660,685,505,540,725,36280,45,370,180,6165,380,1245
E07000227,Horsham,Female,120,375,710,195,730,465,120,85,605,200,280,520,65790,115,620,50,3700,95,380
E07000227,Horsham,Male,145,255,710,210,530,430,135,75,555,200,290,480,63560,120,545,50,2895,115,330
E07000228,Mid Sussex,Female,295,370,1230,140,930,480,160,70,825,280,325,560,66710,95,785,70,4580,95,500
E07000228,Mid Sussex,Male,305,220,1260,135,620,390,150,90,770,275,310,480,64265,80,670,80,3395,115,460
E07000229,Worthing,Female,345,320,525,125,1005,430,115,55,485,280,275,400,48760,45,540,85,3195,110,415
E07000229,Worthing,Male,380,255,570,140,720,465,135,80,495,255,270,390,45920,35,405,110,2620,135,445
E07000234,Bromsgrove,Female,35,210,935,185,240,135,170,60,385,70,465,245,45930,35,485,,865,55,215
E07000234,Bromsgrove,Male,25,200,920,220,190,145,205,50,400,70,555,220,43745,50,495,,685,65,195
E07000235,Malvern Hills,Female,25,175,150,65,180,85,30,15,240,75,105,120,37995,95,215,,1135,20,120
E07000235,Malvern Hills,Male,30,120,150,60,95,75,35,20,230,85,145,115,36200,100,175,,845,30,110
E07000236,Redditch,Female,105,120,525,1535,205,155,265,80,235,55,655,175,36410,30,295,15,2925,30,230
E07000236,Redditch,Male,120,115,520,1615,140,180,285,90,260,65,675,160,35330,20,245,40,2860,35,235
E07000237,Worcester,Female,280,215,700,1265,570,445,120,65,340,220,305,270,43680,50,290,50,3645,75,410
E07000237,Worcester,Male,260,170,635,1310,445,390,120,70,380,205,325,245,42190,45,275,80,3170,85,465
E07000238,Wychavon,Female,25,125,300,70,300,85,85,35,275,90,240,225,61150,335,320,65,3515,40,225
E07000238,Wychavon,Male,45,100,305,90,140,105,110,45,270,70,240,190,58900,305,305,85,3355,60,275
E07000239,Wyre Forest,Female,295,135,240,60,240,80,70,30,245,70,285,140,47870,225,270,25,1340,25,135
E07000239,Wyre Forest,Male,450,110,200,80,130,80,100,40,225,40,320,145,46090,225,205,20,1145,40,180
E07000240,St Albans,Female,1565,930,1980,825,1160,965,455,215,1230,315,630,955,54900,80,1585,75,6640,430,935
E07000240,St Albans,Male,1540,695,1875,790,805,855,450,220,1330,335,675,890,54060,65,1390,75,4995,450,800
E07000241,Welwyn Hatfield,Female,290,735,2430,560,1205,2925,555,335,655,425,675,690,40895,155,820,110,6080,260,1135
E07000241,Welwyn Hatfield,Male,310,590,2785,640,1060,2630,515,350,695,440,660,685,39655,115,750,155,5570,275,1035
E07000242,East Hertfordshire,Female,175,460,760,185,620,635,225,115,720,250,525,595,64460,65,985,125,5080,110,560
E07000242,East Hertfordshire,Male,190,325,685,205,415,570,270,135,710,240,595,610,62785,80,870,155,3980,145,535
E07000243,Stevenage,Female,410,295,1255,460,1045,1555,395,260,375,245,615,385,33940,30,505,50,2975,115,430
E07000243,Stevenage,Male,390,245,1290,495,820,1440,405,290,395,255,575,370,33455,40,465,45,2590,155,445
E07000244,East Suffolk,Female,125,400,465,115,675,365,145,110,530,300,510,525,117450,65,565,40,3395,50,385
E07000244,East Suffolk,Male,160,340,570,145,455,345,275,110,545,275,545,475,111615,80,525,40,2850,65,425
E07000245,West Suffolk,Female,110,295,720,195,1150,535,220,390,545,375,390,900,74795,120,650,80,7280,150,930
E07000245,West Suffolk,Male,175,305,725,295,760,775,340,610,620,465,510,1075,73140,150,735,115,8090,85,1145
E07000246,Somerset West and Taunton,Female,105,320,570,45,680,320,55,45,365,165,220,270,73175,85,365,75,3735,55,320
E07000246,Somerset West and Taunton,Male,130,360,530,55,440,305,65,40,345,165,240,240,69380,100,360,75,3225,90,330
E08000001,Bolton,Female,455,580,13100,13725,1685,4810,295,705,1210,630,815,670,103675,285,680,185,3830,915,1805
E08000001,Bolton,Male,530,540,13140,14175,1670,4485,310,630,1125,615,920,655,99810,235,750,190,3305,900,1925
E08000002,Bury,Female,165,575,915,7500,1030,1315,340,225,845,385,835,535,77450,75,1130,60,3570,325,1470
E08000002,Bury,Male,315,480,950,7645,1015,1205,360,240,825,360,785,550,74080,60,1065,75,3160,390,1545
E08000003,Manchester,Female,4835,6665,7515,32805,5825,24465,5640,3790,3145,3140,5240,3525,134740,335,4760,370,17770,6990,6330
