Geography Code,Geography Name,Sex,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Pakistani","Asian, Asian British or Asian Welsh: Other Asian","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Roma,White: Other White,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E06000037,West Berkshire,Male,200,335,1585,340,345,515,320,160,605,265,530,490,68805,100,695,85,3730,160,435
E06000038,Reading,Female,540,1510,5325,4055,4170,3955,1775,860,1015,615,1825,1055,45815,45,1010,250,11040,590,1935
E06000038,Reading,Male,590,1185,5455,4225,3790,3710,1520,715,1100,635,1730,985,47355,65,1030,320,9960,690,1785
E06000039,Slough,Female,485,340,15085,17240,4005,4120,1450,675,965,395,945,860,19115,120,565,155,9075,890,3525
E06000039,Slough,Male,425,255,15125,17080,4055,3695,1325,730,980,425,910,830,18990,115,580,200,8220,940,3620
E06000040,Windsor and Maidenhead,Female,195,725,5040,3015,1355,735,295,150,1075,315,435,750,53105,150,1170,85,7815,370,1305
E06000040,Windsor and Maidenhead,Male,210,600,4785,3165,985,695,335,150,1120,305,490,750,52885,140,1010,110,6085,445,1155
E06000041,Wokingham,Female,195,1310,6330,2575,1430,1490,410,260,1065,330,675,735,64995,175,825,65,5905,480,1030
E06000041,Wokingham,Male,195,1080,6080,2665,1005,1425,455,265,1150,335,630,655,64090,160,675,110,4845,470,925
E06000042,Milton Keynes,Female,1550,1565,7625,3600,3695,11185,1530,1660,1420,1280,1495,1665,90165,70,1225,240,12675,665,2185
E06000042,Milton Keynes,Male,1640,1345,7720,3565,3335,10320,1445,1715,1555,1270,1500,1540,88405,90,1160,340,11755,685,2190
E06000043,Brighton and Hove,Female,840,1695,1895,445,2210,1985,500,255,2185,1190,1180,2330,102910,85,2070,305,15215,1435,2815
E06000043,Brighton and Hove,Male,890,1370,1740,485,1655,1960,485,265,2015,1145,1230,1955,101920,115,1875,480,11595,1615,2765
E06000044,Portsmouth,Female,2335,1100,1495,270,2040,2670,455,370,715,630,560,790,81285,60,535,155,7590,410,1370
E06000044,Portsmouth,Male,2405,1015,1610,335,1765,2700,495,380,825,615,615,735,80380,60,530,170,6515,600,1420
E06000045,Southampton,Female,1025,2225,4385,2030,3485,2715,525,380,1255,785,1070,1110,84040,170,775,235,14925,595,2220
E06000045,Southampton,Male,1040,1925,4785,2215,3295,2915,580,430,1190,750,1100,1050,85440,170,870,345,13860,715,2295
E06000046,Isle of Wight,Female,70,150,145,30,510,135,45,20,290,105,230,225,67745,20,455,35,1975,40,145
E06000046,Isle of Wight,Male,85,100,170,70,340,165,80,35,290,105,265,210,63950,45,375,40,1575,45,145
E06000047,County Durham,Female,135,1590,990,335,1040,590,130,105,990,415,435,595,252705,410,695,60,4545,400,590
E06000047,County Durham,Male,165,1245,1160,395,775,610,155,150,970,500,470,575,241930,385,690,100,3950,425,660
E06000049,Cheshire East,Female,280,890,1725,715,1385,690,275,120,1245,455,985,890,182060,165,1285,180,8375,340,1135
E06000049,Cheshire East,Male,345,650,1755,720,1060,785,335,225,1225,430,965,860,175275,180,1275,240,7510,370,1370
E06000050,Cheshire West and Chester,Female,355,730,1170,335,1270,730,155,95,1005,455,600,630,166395,185,1395,100,6245,260,735
E06000050,Cheshire West and Chester,Male,385,610,1170,320,890,785,220,125,955,450,580,615,159225,170,1255,125,5270,335,830
E06000051,Shropshire,Female,95,525,785,215,740,280,120,90,640,210,550,500,152740,160,730,80,4860,95,510
E06000051,Shropshire,Male,145,385,830,230,380,295,180,155,620,190,575,575,149180,190,775,75,4085,290,530
E06000052,Cornwall and Isles of Scilly,Female,140,605,390,125,1145,295,130,90,1240,440,865,1080,275185,390,1320,115,8300,125,2755
E06000052,Cornwall and Isles of Scilly,Male,175,430,395,110,525,280,175,90,1215,460,830,920,260620,325,1145,175,6555,175,3020
E06000054,Wiltshire,Female,430,910,1395,180,2700,1445,710,530,1360,570,1225,1215,232135,340,1395,110,10290,310,1375
E06000054,Wiltshire,Male,505,585,1415,215,2540,1535,880,680,1345,590,1255,1155,227460,370,1195,150,7970,330,1535
E06000055,Bedford,Female,2255,410,5035,2600,1400,2825,1635,560,1085,480,1805,955,60245,105,970,220,9850,250,1425
E06000055,Bedford,Male,2230,345,5040,2700,1250,2625,1590,615,1060,460,1835,910,58530,105,830,265,9055,310,1370
E06000056,Central Bedfordshire,Female,300,710,2370,635,1345,2070,1010,465,1240,590,1575,1055,123945,235,1875,135,8335,210,1015
E06000056,Central Bedfordshire,Male,270,655,2315,675,1040,1870,1135,465,1335,505,1545,1045,121825,200,1650,165,7180,280,970
E06000057,Northumberland,Female,145,295,590,270,535,205,55,35,520,205,205,310,157445,95,475,30,2100,115,355
E06000057,Northumberland,Male,155,225,590,245,320,195,70,40,510,235,250,315,150575,80,435,35,1765,155,385
E06000058,"Bournemouth, Christchurch and Poole",Female,565,1520,2295,265,2665,1355,395,245,1620,895,1350,1800,167685,225,1390,370,17505,535,2145
E06000058,"Bournemouth, Christchurch and Poole",Male,650,1045,2385,335,1825,1480,520,240,1595,945,1310,1580,161925,265,1220,490,14435,835,2290
E06000059,Dorset,Female,205,495,480,90,1080,260,105,70,840,285,445,630,182695,255,1000,70,5500,100,565
E06000059,Dorset,Male,260,320,445,150,780,340,195,110,795,315,565,560,173575,325,915,95,3985,125,555
E06000060,Buckinghamshire,Female,820,1835,12450,14820,5310,3640,2815,940,3290,955,2960,2510,203705,305,3340,225,18340,750,3670
E06000060,Buckinghamshire,Male,855,1175,11730,14725,4595,3170,2855,850,3455,945,2980,2475,197780,320,3030,325,14790,810,3525
E06000061,North Northamptonshire,Female,565,545,3685,495,1290,3645,1210,795,970,675,1495,1000,146795,185,1315,330,16075,140,1235
E06000061,North Northamptonshire,Male,540,460,3640,530,975,3245,1260,860,955,645,1530,905,142480,180,1275,410,15625,195,1370
E06000062,West Northamptonshire,Female,2255,1045,4805,1360,1840,7365,1865,1335,1335,915,2325,1530,161480,145,1980,605,20625,280,1965
E06000062,West Northamptonshire,Male,2405,850,4855,1555,1490,6940,1785,1375,1385,880,2295,1450,158025,195,1895,800,20000,405,2075
E07000008,Cambridge,Female,1415,3250,2565,745,2590,1480,330,195,1445,510,600,1140,37755,55,960,310,15260,525,1560
E07000008,Cambridge,Male,1455,3110,3350,755,2385,1035,310,210,1545,500,550,1120,39440,55,925,575,13235,615,1810
E07000009,East Cambridgeshire,Female,55,200,270,60,335,225,55,50,310,140,175,335,38505,145,350,60,3165,35,240
E07000009,East Cambridgeshire,Male,60,145,265,90,210,235,65,75,310,170,150,290,37390,120,315,55,2805,55,245
E07000010,Fenland,Female,30,135,185,30,275,215,90,55,170,100,170,200,44860,310,215,80,4770,20,345
